ext_gene,HC25_FB_ZT02,HC25_FB_ZT04,HC25_FB_ZT06,HC25_FB_ZT08,HC25_FB_ZT10,HC25_FB_ZT12,HC25_FB_ZT14,HC25_FB_ZT16,HC25_FB_ZT18,HC25_FB_ZT20,HC25_FB_ZT22,HC25_FB_ZT24,HC25_FB_2_ZT02,HC25_FB_2_ZT04,HC25_FB_2_ZT06,HC25_FB_2_ZT08,HC25_FB_2_ZT10,HC25_FB_2_ZT12,HC25_FB_2_ZT14,HC25_FB_2_ZT16,HC25_FB_2_ZT18,HC25_FB_2_ZT20,HC25_FB_2_ZT22,HC25_FB_2_ZT24,LC25_FB_ZT02,LC25_FB_ZT04,LC25_FB_ZT06,LC25_FB_ZT08,LC25_FB_ZT10,LC25_FB_ZT12,LC25_FB_ZT14,LC25_FB_ZT16,LC25_FB_ZT18,LC25_FB_ZT20,LC25_FB_ZT22,LC25_FB_ZT24,LC25_FB_2_ZT02,LC25_FB_2_ZT04,LC25_FB_2_ZT06,LC25_FB_2_ZT08,LC25_FB_2_ZT10,LC25_FB_2_ZT12,LC25_FB_2_ZT14,LC25_FB_2_ZT16,LC25_FB_2_ZT18,LC25_FB_2_ZT20,LC25_FB_2_ZT22,LC25_FB_2_ZT24
1-Dec,11.31133399,12.97199258,7.047837777,24.01427935,42.51140362,11.98337148,11.50641604,5.914238495,0.049740858,8.913631601,119.6758458,12.97199258,200.8687484,9.973397676,35.63068133,21.4076716,0.69566042,46.58160804,22.54628977,2.970460001,247.2912526,43.96294876,109.9361827,271.2821304,19.73744581,9.965637296,3.327570609,3.38990526,36.31375739,34.68484405,7.314594606,12.89178355,1.834400391,1.993433935,0.759726567,19.45661083,49.62763335,1.927576801,10.08899971,4.554156221,1.95898573,0.505000383,5.249413927,10.24471831,0.468912348,5.269642124,36.43259926,2.159742118
1-Sep,30.36709715,19.31050717,14.20190061,14.64351998,16.69551945,20.0244485,16.90455225,22.96153256,9.551277077,15.37009865,14.19290052,19.31050717,29.36425115,17.36227515,16.44286283,16.03180724,21.86455139,17.81682997,24.9469145,16.52013945,17.34483792,16.66296698,16.24272686,21.74059305,10.60772933,17.30676141,15.13590795,14.14435919,16.44045552,13.01197672,15.15929529,19.79764253,15.32504452,9.857885668,13.61172351,13.16908107,15.33635279,14.57654316,13.39145611,13.44036517,13.75230223,13.93917409,11.13855528,17.15956575,12.05386267,19.52752124,29.82901203,13.61511016
128up,70.871964,64.57727423,52.17155214,55.85571704,45.24486217,54.333889,42.55432119,75.49749072,36.16882232,52.88170118,47.4393738,64.57727423,64.54604157,43.81106037,49.82819063,54.51890006,52.42292849,53.44817272,70.58678792,35.65578488,52.91018846,55.6110815,57.08930902,63.50417391,31.20327306,42.68931424,52.35734326,38.57516516,47.61063943,42.13142642,38.81222897,52.79242066,37.76663863,37.30278751,45.84771191,39.14545218,53.75370089,37.91963228,50.843097,46.47231195,42.80088357,47.27345218,34.07037098,42.64649458,60.34961549,55.10512525,79.25514684,53.57179963
14-3-3epsilon,348.1561889,361.0061995,331.7091785,358.0903656,344.630896,377.9334763,325.5130666,413.0453402,312.6069171,337.4498441,341.9155507,361.0061995,366.5034741,349.4987879,310.3817204,328.4250024,314.2685874,343.8249413,404.0372216,333.9075076,338.5908076,350.5408745,305.0042797,351.0393565,220.684122,418.0308494,369.3339912,360.6786575,392.6653708,316.4224671,400.1461394,406.7014651,382.4277007,342.1928991,353.3697229,285.9553533,284.5654264,355.5576874,339.6457042,369.5501176,352.5000613,391.5157921,304.1010439,405.861412,285.9138307,384.9078913,420.7835832,279.3380288
14-3-3zeta,361.9451427,436.4116657,527.7271985,467.9559472,467.4437895,509.0786297,449.1723499,503.1101577,504.5842399,444.7631405,490.1862359,436.4116657,376.8037048,412.6128355,371.9849642,390.0437232,374.343225,449.4156847,422.1530115,396.4867217,390.449774,436.1899623,376.7437662,464.2970596,290.8737326,560.5352595,525.6005405,491.3496062,530.2711883,463.7725392,524.0637247,457.8143832,520.0268768,500.1080729,517.5048458,412.5961841,422.4750495,482.5024895,459.5194712,521.9757461,449.4233739,560.0964723,435.3203761,454.9693222,446.4681241,453.3979875,542.196693,428.4826057
140up,23.18636229,21.03640689,21.50115326,21.60357361,23.09923445,20.79197316,16.87650816,20.70299237,18.32340884,26.23777652,28.17459007,21.03640689,20.93674735,18.12154002,17.94437954,19.05478433,20.16168177,19.15273851,17.87676265,17.21071016,17.99396887,19.37707146,22.64090138,19.15007036,12.91300567,24.61362351,25.30259285,20.25256491,18.88112698,23.26756041,25.5744488,24.48063171,25.57072742,21.62296133,22.54181038,20.54670613,20.58713691,19.07501647,22.97429642,23.67192096,18.1532093,20.55521038,21.45832664,22.005381,22.20900663,25.12984594,26.99273517,20.39730964
18SrRNA-Psi:CR41602,695.2886877,652.4035606,838.2072768,770.0968424,304.067782,464.7015789,527.757384,517.8882521,985.1966394,1943.78738,402.5107139,652.4035606,504.0434386,507.3209431,383.6989081,410.3275214,826.8016053,909.2892632,479.5420874,6656.209973,883.3056946,510.0643757,416.1525774,584.2973651,83814.15738,582.4202678,3617.735841,3678.634414,3529.600688,724.8522244,679.5876268,178.8247836,2816.921556,2211.880779,2032.927761,1048.566718,903.2067706,755.5905975,2574.735906,916.7955222,747.1498619,920.7171742,1204.102865,1131.358511,1230.588349,1267.976805,1090.142377,1114.142549
18SrRNA-Psi:CR45861,561.8960687,485.7294778,659.5984167,590.6940424,218.0957317,349.9164352,414.0721291,359.9936686,784.6661359,1488.035151,286.8674361,485.7294778,390.8310784,385.9079247,299.3506405,319.1053555,606.4091175,679.068233,367.1697805,4990.867889,674.0678982,400.9166946,310.4001795,468.7278608,62732.82274,441.8394792,2660.152577,2959.630448,2691.054389,490.8308007,506.8294131,134.9362688,2181.714721,1790.066511,1707.231496,828.5386423,690.305274,560.8060141,2054.595924,697.9123417,573.1385315,709.2976365,917.8089304,846.5943419,950.8048036,994.7420021,857.8282258,873.3120386
18w,4.411155602,8.109570799,7.486699804,4.857610646,5.632735484,5.987435045,7.049664789,5.092967676,8.406454647,5.602638079,9.357851978,8.109570799,6.867629301,7.485702618,7.639791289,7.093917186,6.103670973,6.904054552,6.368461775,6.574600379,7.597838983,6.584259369,6.503568613,7.195345748,4.031786513,7.020142867,5.421015308,6.409883838,6.430500764,5.913600639,8.270638182,9.669936765,7.684327539,7.625316258,7.540305802,6.568879862,5.770796085,7.37855469,7.893942455,7.186209838,8.276960428,9.694227898,4.151010265,7.267054617,7.399917036,6.470141575,6.333396952,6.007120653
2-Sep,30.16058879,21.63763943,16.68611477,18.54973567,22.50556409,19.62938581,21.22471087,26.36436378,15.41431637,20.06376449,15.73555079,21.63763943,33.32563363,22.1845072,23.44106453,23.38137598,27.23264736,24.73362761,32.81297613,20.67995487,22.04228901,18.33228965,26.55775115,23.90476663,13.1967127,20.62375916,21.18312526,20.25715386,21.5640425,18.49375638,19.63232492,26.77289771,22.09836701,15.18499525,16.07077923,15.73621953,18.21784062,18.93359194,20.33823283,16.91531242,19.10659785,18.97364549,20.15071142,20.97031342,18.03430617,23.25215015,25.13585308,17.99092316
