ext_gene,HC25_FB_ZT02,HC25_FB_ZT04,HC25_FB_ZT06,HC25_FB_ZT08,HC25_FB_ZT10,HC25_FB_ZT12,HC25_FB_ZT14,HC25_FB_ZT16,HC25_FB_ZT18,HC25_FB_ZT20,HC25_FB_ZT22,HC25_FB_ZT24,HC25_FB_2_ZT02,HC25_FB_2_ZT04,HC25_FB_2_ZT06,HC25_FB_2_ZT08,HC25_FB_2_ZT10,HC25_FB_2_ZT12,HC25_FB_2_ZT14,HC25_FB_2_ZT16,HC25_FB_2_ZT18,HC25_FB_2_ZT20,HC25_FB_2_ZT22,HC25_FB_2_ZT24,LC25_FB_ZT02,LC25_FB_ZT04,LC25_FB_ZT06,LC25_FB_ZT08,LC25_FB_ZT10,LC25_FB_ZT12,LC25_FB_ZT14,LC25_FB_ZT16,LC25_FB_ZT18,LC25_FB_ZT20,LC25_FB_ZT22,LC25_FB_ZT24,LC25_FB_2_ZT02,LC25_FB_2_ZT04,LC25_FB_2_ZT06,LC25_FB_2_ZT08,LC25_FB_2_ZT10,LC25_FB_2_ZT12,LC25_FB_2_ZT14,LC25_FB_2_ZT16,LC25_FB_2_ZT18,LC25_FB_2_ZT20,LC25_FB_2_ZT22,LC25_FB_2_ZT24
1-Dec,361.5729509,176.8210147,306.378796,88.122952,110.240339,13.01094155,227.777819,48.5787937,0.45220748,40.8693713,233.165051,176.8210147,485.2860114,8.159210325,24.47503491,17.423592,0.651773652,2.560975757,19.67515488,1.201745019,139.752273,3.760849382,175.3813861,148.28717,59.6284981,30.89292328,7.121808,42.51651233,150.524378,152.674347,56.20274806,82.78111251,0.909841,44.491014,3.348042645,37.9098,1.329343933,0.107666,3.9272067,0.112668,0.2886287,0,0.149629,0.12777262,0.074774,0.134574,0.300628388,0.23781458
1-Sep,49.6967,28.466,24.3961,17.5386,19.872,20.0227,24.4902,31.4127,12.3537,18.9525,15.1779,28.466,33.7484,16.6819,15.6604,15.5864,21.9609,11.0036,24.7431,14.1343,15.4551,11.133,17.5598,19.2862,12.6668,21.9549,18.6873,20.3621,20.9465,15.7896,19.976,26.9247,13.5319,16.2338,17.965,16.1868,8.42947,9.3293,11.5611,7.40869,10.3689,8.16655,6.27522,8.95089,9.21918,10.7095,14.4439,9.89542
128up,86.431,76.88,65.4195,59.679,50.3187,53.5499,47.5902,86.5985,39.643,57.3801,47.777,76.88,69.3862,42.8221,48.9992,53.7921,52.685,41.8153,71.0423,32.5537,49.4813,45.0279,59.7603,59.0947,34.1315,50.1205,59.9222,44.8355,54.4339,45.1288,43.0996,61.8727,35.3439,45.9636,53.8748,45.3749,39.8038,30.5103,46.1357,34.3125,37.5794,36.1726,25.4232,31.0458,52.9653,40.3186,55.5031,45.868
14-3-3epsilon,427.8349,417.09,373.7481,365.9377,370.4447,364.7814,349.8761,463.4692,318.2857,351.3941,330.06209,417.09,413.8427,342.9048,312.2957,326.891,321.00777,282.08024,408.1584,305.3354,331.04855,293.8,325.0738,336.30822,233.72937,456.2986,392.3365,390.095,426.2701,325.1617,420.5929,456.9674,350.2984,386.7268,393.462,328.6632,212.94545,280.5232,292.7597,271.9435,310.2624,292.8447,202.4287,305.1726,245.3867,292.50823,309.2644,237.8275
14-3-3zeta,399.7646589,477.3117021,583.7628621,454.1113079,489.0847347,474.9715678,451.0645465,543.6393596,506.1494282,454.0780011,455.1838274,477.3117021,420.0858999,407.9214002,383.8002223,397.0957,387.9388673,395.873951,439.6011491,371.729987,387.38274,388.824386,396.776905,448.0560554,298.1563917,631.4205137,571.0292228,515.1714861,580.4384114,443.344057,515.0696931,499.9227345,478.175008,534.0416082,580.5169958,479.45901,354.2492881,414.1739473,408.6699834,411.614141,409.7453343,462.1936488,329.907344,369.7201068,419.4698127,369.7949859,432.766669,391.0214903
140up,23.5495,21.61854,22.50017,21.78347,23.6867,20.51113,17.39141,20.6943,19.07319,26.1006,28.72279,21.61854,22.77417,17.3625,18.82479,19.06052,20.84644,18.23364,17.95579,16.2021,17.30518,17.67853,23.54694,17.81323,13.00216,27.27161,26.7138,20.78455,19.11661,24.94622,25.94613,25.9864,23.9515,22.2504,24.1511,22.68137,17.06584,16.58415,22.43724,20.52942,16.94175,17.55707,16.46095,18.41655,20.51773,21.65804,22.61343,18.29272
18SrRNA-Psi:CR41602,415.451,529.496,543.042,602.995,358.298,403.366,272.677,401.113,710.202,1496.65,304.892,529.496,499.763,507.329,438.074,432.035,861.743,1112.31,545.841,6349.14,867.205,592.554,431.631,556.152,84559.6,892.31,4777.66,2186.91,3637.67,505.835,450.926,175.131,2748.49,1420.75,2629.14,1648.42,1258.92,966.112,2137.63,1200.28,924.101,1186.2,1461.41,1584.45,1429.94,1513.85,1372.29,1336.09
18SrRNA-Psi:CR45861,335.651,392.545,425.877,462.886,255.233,304.569,214.772,278.346,565.917,1146.65,218.251,392.545,386.509,386.121,341.011,335.738,631.269,833.973,416.949,4777.52,663.161,467.503,321.178,447.393,63038.3,667.718,3477.43,1766.66,2759.68,343.634,337.097,131.446,2135.88,1147.51,2183.34,1285.01,965.156,719.308,1716.44,918.023,709.691,917.702,1121.12,1191.9,1106.94,1195.74,1090.47,1049.53
18w,4.47813,8.44989,7.721,4.8368,5.97288,5.86223,6.72363,5.23135,8.34058,5.61976,9.13795,8.44989,7.06864,7.3949,7.66342,7.06148,6.12543,6.27024,6.45519,6.27159,7.33558,6.01987,6.65428,6.91135,4.17541,7.76101,5.8655,6.54877,6.84182,5.85625,8.2723,10.2811,7.50036,7.84765,8.18216,7.25344,5.14759,6.84304,7.41411,6.39053,7.97948,8.76541,3.7069,6.52642,7.08492,5.69838,5.61162,5.69848
2-Sep,37.3973,25.235,20.7932,20.1393,23.8746,19.64684,24.8494,30.2886,17.1824,22.1237,16.4323,25.235,35.252,21.6894,22.6444,22.9691,27.1212,19.6264,32.2978,19.3883,20.8628,15.0984,27.3298,22.6895,14.1178,21.8901,22.401614,24.5774,23.9245,20.5267,22.4408,30.200482,21.2045,18.7717,17.415828,16.5069,13.5493,15.3699,19.3231,12.64664,16.682346,14.7492,15.486,15.5707,15.9151,17.6576,18.5192,15.4618
