ext_gene,value
1-Dec,3772.278654
1-Sep,1827
128up,1105
14-3-3epsilon,1429.750366
14-3-3zeta,1389.839218
140up,824.3405265
18SrRNA-Psi:CR41602,1776
18SrRNA-Psi:CR45861,1735
18w,5223
2-Sep,1363.360782
26-29-p,1673
28SrRNA-Psi:CR40596,2576
28SrRNA-Psi:CR40741,1059
28SrRNA-Psi:CR41609,696
28SrRNA-Psi:CR45848,622
28SrRNA-Psi:CR45851,1522
28SrRNA-Psi:CR45853,56.1701
28SrRNA-Psi:CR45855,505
28SrRNA-Psi:CR45859,2490
28SrRNA-Psi:CR45860,158
28SrRNA-Psi:CR45862,1805
2mit,8199.413814
2SrRNA-Psi:CR40677,2.83354
2SrRNA-Psi:CR45850,2.83354
2SrRNA-Psi:CR45858,2.83354
312,707.6191855
4-Sep,2483.241017
4E-T,3377.15394
4EHP,2013.422052
5-HT1A,4820
5-HT1B,3661.951267
5-HT2A,3296.390451
5-HT2B,4591.946756
5-HT7,3899.197896
5-Sep,1511.1093
5.8SrRNA-Psi:CR45849,5.19716
5.8SrRNA-Psi:CR45854,5.19716
5.8SrRNA-Psi:CR45857,5.19716
5.8SrRNA-Psi:CR45863,5.19716
5PtaseI,2256.404341
5SrRNA-Psi:CR33356,6.43085
5SrRNA-Psi:CR33363,6.5079
5SrRNA-Psi:CR33371,6.00353
5SrRNA-Psi:CR33416,6.43085
7B2,934.2383586
825-Oak,315
a,4550.924481
a10,368
A16,1167
A2bp1,5507.753969
a5,577
a6,2008.242958
Aac11,2259
AANATL2,674.5285609
Aatf,1504
aay,1330
ab,4454.585032
ABCB7,2272.833056
abd-A,4214.595302
Abd-B,3645.118569
Abi,2182.15883
Abl,11251.57337
abo,1595
Abp1,2301
abs,1796
ac,718
Ac13E,7056.066209
Ac3,4413.672238
Ac76E,5113.255911
Ac78C,5329.770045
Acam,397
ACC,7687.163603
AcCoAS,2542.594339
Ace,4765.741238
Acer,2328.114174
Acf,4880
achi,1963.94312
acj6,3930.223452
Ack,4194
Ack-like,4276.087763
Acn,2691.430065
Acon,2679.755869
Acox57D-d,2053
Acox57D-p,2165.708647
Acp1,659
Acp24A4,371.2007949
Acp26Aa,759
Acp26Ab,209
Acp29AB,568
Acp32CD,683.0040346
Acp33A,141
Acp36DE,2644
Acp53C14a,495.2296209
Acp53C14b,391
Acp53C14c,312
Acp53Ea,269
Acp54A1,107
Acp62F,280
Acp63F,152.3953304
Acp65Aa,416
Acp76A,1000.5
Acp95EF,44.7603
Acp98AB,10.1687
Acph-1,1742.704996
Acsl,3088.812812
Act42A,1427
Act57B,1525
Act5C,1772.25037
Act79B,1367.951423
Act87E,1414.814237
Act88F,1396
Actbeta,3472
Actn,3377.041384
Actn3,1657
ACXA,3342.8
ACXB,3358
ACXC,3306
ACXD,3914.497371
ACXE,3249
Acyp,315
Acyp2,368.291227
Ada,922
Ada1-1,880.304863
Ada1-2,890
Ada2a,2032.030822
Ada2b,2059.980274
Ada3,2459
Adam,1060.732374
AdamTS-A,6201.497869
Adar,3040.951642
Adat1,2804
Adck,1549.912555
ADD1,4070.268788
ade2,4091.153176
ade3,4029.110051
ade5,1659.774611
AdenoK,1314.037631
Adf1,1498.422092
Adgf-A,2387.26332
Adgf-A2,1597.259266
Adgf-B,1495
Adgf-C,1538
Adgf-D,1414
Adgf-E,1592
Adh,903.742982
Adhr,1881
Adi1,502
AdipoR,1738.175799
Adk1,877.69731
Adk2,866
Adk3,990.5180981
AdoR,3324.021858
adp,2046.153475
ADPS,2088.087761
AdSL,2142
